Gene_A	Gene_B
HES1_MOUSE	GAB1_MOUSE
LY6E_MOUSE	GAB1_MOUSE
NFAC4_MOUSE	GAB1_MOUSE
SOS1_MOUSE	GAB1_MOUSE
ROCK1_MOUSE	GAB1_MOUSE
HPRT_MOUSE	GAB1_MOUSE
CO5A2_MOUSE	GAB1_MOUSE
TSC1_MOUSE	GAB1_MOUSE
THRB_MOUSE	GAB1_MOUSE
TMOD1_MOUSE	GAB1_MOUSE
EMIL1_MOUSE	GAB1_MOUSE
FOXP1_MOUSE	GAB1_MOUSE
RET_MOUSE	GAB1_MOUSE
ATE1_MOUSE	GAB1_MOUSE
OAT_MOUSE	GAB1_MOUSE
FGFR1_MOUSE	GAB1_MOUSE
GSHR_MOUSE	GAB1_MOUSE
BAZ1B_MOUSE	SMCA5_MOUSE
HDAC2_MOUSE	SMCA5_MOUSE
SATB1_MOUSE	SMCA5_MOUSE
PO5F1_MOUSE	SMCA5_MOUSE
MXI1_MOUSE	SMCA5_MOUSE
CREB1_MOUSE	SMCA5_MOUSE
PCNA_MOUSE	SMCA5_MOUSE
DPOE3_MOUSE	SMCA5_MOUSE
GATA1_MOUSE	SMCA5_MOUSE
ICAM2_MOUSE	HPT_MOUSE
STAT6_MOUSE	HPT_MOUSE
NQO1_MOUSE	HPT_MOUSE
IL5RA_MOUSE	HPT_MOUSE
HFE_MOUSE	HPT_MOUSE
DLL1_MOUSE	HPT_MOUSE
IKZF3_MOUSE	HPT_MOUSE
IL3_MOUSE	HPT_MOUSE
ARGI1_MOUSE	HPT_MOUSE
TFE2_MOUSE	HPT_MOUSE
MP2K6_MOUSE	HPT_MOUSE
MAAI_MOUSE	HPT_MOUSE
IRF4_MOUSE	HPT_MOUSE
GCNT2_MOUSE	HPT_MOUSE
LECT2_MOUSE	HPT_MOUSE
ERAP1_MOUSE	HPT_MOUSE
CBPB2_MOUSE	HPT_MOUSE
NRAM1_MOUSE	HPT_MOUSE
PTPRC_MOUSE	HPT_MOUSE
GRP1_MOUSE	HPT_MOUSE
BAG1_MOUSE	HPT_MOUSE
PRDX1_MOUSE	HPT_MOUSE
MTF1_MOUSE	HPT_MOUSE
ERRFI_MOUSE	HPT_MOUSE
HEMO_MOUSE	HPT_MOUSE
CD40L_MOUSE	HPT_MOUSE
PRP6_MOUSE	TXN4B_MOUSE
LURA1_MOUSE	ZN821_MOUSE
AP2A2_MOUSE	IST1_MOUSE
AP2S1_MOUSE	IST1_MOUSE
PPA5_MOUSE	PYRD_MOUSE
PSA_MOUSE	PYRD_MOUSE
LKHA4_MOUSE	PYRD_MOUSE
3BP5_MOUSE	PYRD_MOUSE
XPO7_MOUSE	PYRD_MOUSE
XPP1_MOUSE	PYRD_MOUSE
ACSM5_MOUSE	PYRD_MOUSE
WEE1_MOUSE	PYRD_MOUSE
MST4_MOUSE	PYRD_MOUSE
AP2A2_MOUSE	AP1G1_MOUSE
AP1M1_MOUSE	AP1G1_MOUSE
AP1S1_MOUSE	AP1G1_MOUSE
AP1B1_MOUSE	AP1G1_MOUSE
GGA3_MOUSE	AP1G1_MOUSE
RABE1_MOUSE	AP1G1_MOUSE
NECP1_MOUSE	AP1G1_MOUSE
SYPH_MOUSE	AP1G1_MOUSE
AP1S2_MOUSE	AP1G1_MOUSE
AKT2_MOUSE	PHLP2_MOUSE
AKT3_MOUSE	PHLP2_MOUSE
SCRIB_MOUSE	PHLP2_MOUSE
SNX27_MOUSE	PHLP2_MOUSE
IRX2_MOUSE	IRX3_MOUSE
SNF5_MOUSE	IRX5_MOUSE
IRX2_MOUSE	IRX5_MOUSE
PLAG1_MOUSE	IRX5_MOUSE
DLL3_MOUSE	IRX5_MOUSE
DEST_MOUSE	IRX5_MOUSE
SCN1B_MOUSE	IRX5_MOUSE
NR2E1_MOUSE	IRX5_MOUSE
LGMN_MOUSE	IRX5_MOUSE
ERCC8_MOUSE	IRX5_MOUSE
PLK2_MOUSE	IRX5_MOUSE
CDHR1_MOUSE	IRX5_MOUSE
RGR_MOUSE	IRX5_MOUSE
S45A2_MOUSE	IRX5_MOUSE
HES1_MOUSE	IRX5_MOUSE
ACES_MOUSE	IRX5_MOUSE
SATB1_MOUSE	IRX5_MOUSE
GUC1B_MOUSE	IRX5_MOUSE
CBS_MOUSE	IRX5_MOUSE
RDH1_MOUSE	IRX5_MOUSE
MIP_MOUSE	IRX5_MOUSE
CRGF_MOUSE	IRX5_MOUSE
CO5A2_MOUSE	IRX5_MOUSE
LYAM2_MOUSE	IRX5_MOUSE
NGF_MOUSE	IRX5_MOUSE
CASP6_MOUSE	IRX5_MOUSE
DNS2B_MOUSE	IRX5_MOUSE
5HT6R_MOUSE	IRX5_MOUSE
MTF2_MOUSE	IRX5_MOUSE
APLF_MOUSE	IRX5_MOUSE
TUB_MOUSE	IRX5_MOUSE
IRX3_MOUSE	IRX5_MOUSE
MMP14_MOUSE	MMP2_MOUSE
COIA1_MOUSE	MMP2_MOUSE
RAPSN_MOUSE	MMP2_MOUSE
STK11_MOUSE	MMP2_MOUSE
PLGF_MOUSE	MMP2_MOUSE
MMP8_MOUSE	MMP2_MOUSE
ID3_MOUSE	MMP2_MOUSE
FHL2_MOUSE	MMP2_MOUSE
TOP2B_MOUSE	MMP2_MOUSE
MMP9_MOUSE	MMP2_MOUSE
KIF3A_MOUSE	MMP2_MOUSE
SPRC_MOUSE	MMP2_MOUSE
MMP7_MOUSE	MMP2_MOUSE
FRK_MOUSE	MMP2_MOUSE
CTGF_MOUSE	MMP2_MOUSE
TIMP3_MOUSE	MMP2_MOUSE
IGF1_MOUSE	MMP2_MOUSE
XRCC4_MOUSE	MMP2_MOUSE
HAS2_MOUSE	MMP2_MOUSE
FAK1_MOUSE	MMP2_MOUSE
CXAR_MOUSE	MMP2_MOUSE
NFAC4_MOUSE	MMP2_MOUSE
TSP2_MOUSE	MMP2_MOUSE
MMP25_MOUSE	MMP2_MOUSE
LYOX_MOUSE	MMP2_MOUSE
SUFU_MOUSE	MMP2_MOUSE
PTPRJ_MOUSE	MMP2_MOUSE
RASH_MOUSE	MMP2_MOUSE
CREB1_MOUSE	MMP2_MOUSE
CASP8_MOUSE	MMP2_MOUSE
NGAL_MOUSE	MMP2_MOUSE
ABL1_MOUSE	MMP2_MOUSE
EPCR_MOUSE	MMP2_MOUSE
FBXW7_MOUSE	MMP2_MOUSE
MMP17_MOUSE	MMP2_MOUSE
CDX2_MOUSE	MMP2_MOUSE
MGP_MOUSE	MMP2_MOUSE
TIMP4_MOUSE	MMP2_MOUSE
CALC_MOUSE	MMP2_MOUSE
AT2A1_MOUSE	MMP2_MOUSE
ADML_MOUSE	MMP2_MOUSE
SRC8_MOUSE	MMP2_MOUSE
EDNRA_MOUSE	MMP2_MOUSE
ADT1_MOUSE	MMP2_MOUSE
GRM6_MOUSE	GNAO_MOUSE
OPRM_MOUSE	GNAO_MOUSE
CAC1B_MOUSE	GNAO_MOUSE
PCP2_MOUSE	GNAO_MOUSE
NGB_MOUSE	GNAO_MOUSE
A4_MOUSE	GNAO_MOUSE
GNAQ_MOUSE	GNAO_MOUSE
DCTN2_MOUSE	GNAO_MOUSE
SYUA_MOUSE	GNAO_MOUSE
RGS16_MOUSE	GNAO_MOUSE
RGS5_MOUSE	GNAO_MOUSE
OPRX_MOUSE	GNAO_MOUSE
GPSM2_MOUSE	GNAO_MOUSE
ICOSL_MOUSE	SIA4B_MOUSE
MCM3A_MOUSE	SIA4B_MOUSE
CBPA3_MOUSE	SIA4B_MOUSE
CD79A_MOUSE	SIA4B_MOUSE
CERU_MOUSE	SIA4B_MOUSE
ENOG_MOUSE	SIA4B_MOUSE
PRDX2_MOUSE	SIA4B_MOUSE
LSP1_MOUSE	SIA4B_MOUSE
DEMA_MOUSE	SIA4B_MOUSE
OSMR_MOUSE	SIA4B_MOUSE
MRP1_MOUSE	SIA4B_MOUSE
EPB42_MOUSE	SIA4B_MOUSE
MBL2_MOUSE	SIA4B_MOUSE
CAN1_MOUSE	SIA4B_MOUSE
CD7_MOUSE	SIA4B_MOUSE
NFKB2_MOUSE	SIA4B_MOUSE
SIA8E_MOUSE	SIA4B_MOUSE
RGS1_MOUSE	SIA4B_MOUSE
STEA3_MOUSE	SIA4B_MOUSE
STOM_MOUSE	SIA4B_MOUSE
P2RY1_MOUSE	SIA4B_MOUSE
PTN22_MOUSE	SIA4B_MOUSE
SIAT6_MOUSE	SIA4B_MOUSE
PRDX1_MOUSE	SIA4B_MOUSE
KPCZ_MOUSE	SIA4B_MOUSE
PLF4_MOUSE	SIA4B_MOUSE
TFR2_MOUSE	SIA4B_MOUSE
BHE40_MOUSE	SIA4B_MOUSE
LAG3_MOUSE	SIA4B_MOUSE
VASP_MOUSE	SIA4B_MOUSE
ITAL_MOUSE	SIA4B_MOUSE
HEPH_MOUSE	SIA4B_MOUSE
GAS6_MOUSE	SIA4B_MOUSE
TN13B_MOUSE	SIA4B_MOUSE
PTN7_MOUSE	SIA4B_MOUSE
DERL3_MOUSE	AMFR_MOUSE
UB2G2_MOUSE	AMFR_MOUSE
RNF5_MOUSE	AMFR_MOUSE
DERL2_MOUSE	AMFR_MOUSE
NGLY1_MOUSE	AMFR_MOUSE
DERL1_MOUSE	AMFR_MOUSE
TERA_MOUSE	AMFR_MOUSE
COG1_MOUSE	COG4_MOUSE
RED1_MOUSE	COG4_MOUSE
GET4_MOUSE	COG4_MOUSE
NEK2_MOUSE	COG4_MOUSE
COG6_MOUSE	COG4_MOUSE
SMUF2_MOUSE	CPSF5_MOUSE
CLP1_MOUSE	CPSF5_MOUSE
ITA3_MOUSE	BBS2_MOUSE
TRPM5_MOUSE	BBS2_MOUSE
ADCY3_MOUSE	BBS2_MOUSE
TTC8_MOUSE	BBS2_MOUSE
ARL6_MOUSE	BBS2_MOUSE
BBS4_MOUSE	BBS2_MOUSE
ITA6_MOUSE	BBS2_MOUSE
MKKS_MOUSE	BBS2_MOUSE
PDC10_MOUSE	BBS2_MOUSE
TS1R3_MOUSE	BBS2_MOUSE
CNGA4_MOUSE	BBS2_MOUSE
HLF_MOUSE	MT3_MOUSE
HMOX2_MOUSE	MT3_MOUSE
NEUR1_MOUSE	MT3_MOUSE
NEK8_MOUSE	MT3_MOUSE
ATOX1_MOUSE	MT3_MOUSE
CRFR1_MOUSE	MT3_MOUSE
AKT3_MOUSE	MT3_MOUSE
GBRG2_MOUSE	MT3_MOUSE
NHRF1_MOUSE	MT3_MOUSE
GALC_MOUSE	MT3_MOUSE
NPC2_MOUSE	MT3_MOUSE
AMPH_MOUSE	MT3_MOUSE
SC6A3_MOUSE	MT3_MOUSE
5HT1A_MOUSE	MT3_MOUSE
TEF_MOUSE	MT3_MOUSE
ADCY5_MOUSE	MT3_MOUSE
BI1_MOUSE	MT3_MOUSE
SC5A7_MOUSE	MT3_MOUSE
SDC3_MOUSE	MT3_MOUSE
5HT4R_MOUSE	MT3_MOUSE
V1BR_MOUSE	MT3_MOUSE
RGS7_MOUSE	MT3_MOUSE
DCE2_MOUSE	MT3_MOUSE
E2F5_MOUSE	MT3_MOUSE
PARK7_MOUSE	MT3_MOUSE
UBP18_MOUSE	MT3_MOUSE
MT4_MOUSE	MT3_MOUSE
MMP11_MOUSE	MT2_MOUSE
COIA1_MOUSE	MT2_MOUSE
FOLR1_MOUSE	MT2_MOUSE
STK11_MOUSE	MT2_MOUSE
MSH6_MOUSE	MT2_MOUSE
APOA2_MOUSE	MT2_MOUSE
GBRB2_MOUSE	MT2_MOUSE
CMC2_MOUSE	MT2_MOUSE
GAST_MOUSE	MT2_MOUSE
PLTP_MOUSE	MT2_MOUSE
STAR3_MOUSE	MT2_MOUSE
KSR1_MOUSE	MT2_MOUSE
FRK_MOUSE	MT2_MOUSE
NEUT_MOUSE	MT2_MOUSE
HINT1_MOUSE	MT2_MOUSE
GALK1_MOUSE	MT2_MOUSE
ACOX1_MOUSE	MT2_MOUSE
MRP3_MOUSE	MT2_MOUSE
ASGR1_MOUSE	MT2_MOUSE
ARGI2_MOUSE	MT2_MOUSE
CP46A_MOUSE	MT2_MOUSE
PRL_MOUSE	MT2_MOUSE
CBPB2_MOUSE	MT2_MOUSE
HEP2_MOUSE	MT2_MOUSE
NR1I2_MOUSE	MT2_MOUSE
SOAT2_MOUSE	MT2_MOUSE
AMHR2_MOUSE	MT2_MOUSE
TFF1_MOUSE	MT2_MOUSE
PLCE1_MOUSE	MT2_MOUSE
CP2E1_MOUSE	MT2_MOUSE
GNDS_MOUSE	MT2_MOUSE
GRB14_MOUSE	MT2_MOUSE
ACOC_MOUSE	MT2_MOUSE
MUTYH_MOUSE	MT2_MOUSE
EREG_MOUSE	MT2_MOUSE
IL21R_MOUSE	MT2_MOUSE
RGS10_MOUSE	MT2_MOUSE
FA9_MOUSE	MT2_MOUSE
BTK_MOUSE	MT2_MOUSE
MT4_MOUSE	MT2_MOUSE
MT3_MOUSE	MT2_MOUSE
MMP11_MOUSE	MT1_MOUSE
COIA1_MOUSE	MT1_MOUSE
FOLR1_MOUSE	MT1_MOUSE
STK11_MOUSE	MT1_MOUSE
MSH6_MOUSE	MT1_MOUSE
APOA2_MOUSE	MT1_MOUSE
GBRB2_MOUSE	MT1_MOUSE
CMC2_MOUSE	MT1_MOUSE
GAST_MOUSE	MT1_MOUSE
PLTP_MOUSE	MT1_MOUSE
STAR3_MOUSE	MT1_MOUSE
KSR1_MOUSE	MT1_MOUSE
FRK_MOUSE	MT1_MOUSE
NEUT_MOUSE	MT1_MOUSE
HINT1_MOUSE	MT1_MOUSE
GALK1_MOUSE	MT1_MOUSE
ACOX1_MOUSE	MT1_MOUSE
MRP3_MOUSE	MT1_MOUSE
ASGR1_MOUSE	MT1_MOUSE
ARGI2_MOUSE	MT1_MOUSE
CP46A_MOUSE	MT1_MOUSE
PRL_MOUSE	MT1_MOUSE
CBPB2_MOUSE	MT1_MOUSE
HEP2_MOUSE	MT1_MOUSE
NR1I2_MOUSE	MT1_MOUSE
SOAT2_MOUSE	MT1_MOUSE
AMHR2_MOUSE	MT1_MOUSE
TFF1_MOUSE	MT1_MOUSE
PLCE1_MOUSE	MT1_MOUSE
CP2E1_MOUSE	MT1_MOUSE
SYUA_MOUSE	MT1_MOUSE
GNDS_MOUSE	MT1_MOUSE
GRB14_MOUSE	MT1_MOUSE
ACOC_MOUSE	MT1_MOUSE
MUTYH_MOUSE	MT1_MOUSE
EREG_MOUSE	MT1_MOUSE
IL21R_MOUSE	MT1_MOUSE
RGS10_MOUSE	MT1_MOUSE
FA9_MOUSE	MT1_MOUSE
MT4_MOUSE	MT1_MOUSE
MT3_MOUSE	MT1_MOUSE
MT2_MOUSE	MT1_MOUSE
PDGFB_MOUSE	S12A3_MOUSE
CORIN_MOUSE	S12A3_MOUSE
CAV1_MOUSE	S12A3_MOUSE
HPS5_MOUSE	S12A3_MOUSE
GALNS_MOUSE	S12A3_MOUSE
ACE2_MOUSE	S12A3_MOUSE
PTGIS_MOUSE	S12A3_MOUSE
S22A5_MOUSE	S12A3_MOUSE
UPP1_MOUSE	S12A3_MOUSE
ACE_MOUSE	S12A3_MOUSE
S5A1_MOUSE	S12A3_MOUSE
S6A18_MOUSE	S12A3_MOUSE
HYES_MOUSE	S12A3_MOUSE
UPK3A_MOUSE	S12A3_MOUSE
ADIPO_MOUSE	S12A3_MOUSE
S22A1_MOUSE	S12A3_MOUSE
LCAP_MOUSE	S12A3_MOUSE
PODXL_MOUSE	S12A3_MOUSE
ADCYA_MOUSE	S12A3_MOUSE
TNFL4_MOUSE	S12A3_MOUSE
PDIA3_MOUSE	S12A3_MOUSE
ADHX_MOUSE	S12A3_MOUSE
AAPK2_MOUSE	S12A3_MOUSE
FABPH_MOUSE	S12A3_MOUSE
NOS3_MOUSE	S12A3_MOUSE
HPPD_MOUSE	S12A3_MOUSE
MFGM_MOUSE	S12A3_MOUSE
NUCB2_MOUSE	S12A3_MOUSE
MRP6_MOUSE	S12A3_MOUSE
AGAL_MOUSE	S12A3_MOUSE
RENBP_MOUSE	S12A3_MOUSE
NICA_MOUSE	HERP1_MOUSE
IMPA2_MOUSE	HERP1_MOUSE
TOLIP_MOUSE	HERP1_MOUSE
CSKP_MOUSE	CNTP4_MOUSE
MAL2_MOUSE	PLLP_MOUSE
MAL_MOUSE	PLLP_MOUSE
CC104_MOUSE	AR2BP_MOUSE
ARL2_MOUSE	AR2BP_MOUSE
ARL3_MOUSE	AR2BP_MOUSE
ADT1_MOUSE	AR2BP_MOUSE
Z385A_MOUSE	X3CL1_MOUSE
LIN7B_MOUSE	X3CL1_MOUSE
BID_MOUSE	X3CL1_MOUSE
TSSP_MOUSE	X3CL1_MOUSE
EPHA2_MOUSE	X3CL1_MOUSE
TPH2_MOUSE	X3CL1_MOUSE
SLAF6_MOUSE	X3CL1_MOUSE
GATA3_MOUSE	X3CL1_MOUSE
LBP_MOUSE	X3CL1_MOUSE
MAPK2_MOUSE	X3CL1_MOUSE
AKT3_MOUSE	X3CL1_MOUSE
NSMA_MOUSE	X3CL1_MOUSE
LIN7A_MOUSE	X3CL1_MOUSE
IGF1_MOUSE	X3CL1_MOUSE
COBL_MOUSE	X3CL1_MOUSE
GBRA6_MOUSE	X3CL1_MOUSE
KIF1C_MOUSE	X3CL1_MOUSE
NOS2_MOUSE	X3CL1_MOUSE
GFAP_MOUSE	X3CL1_MOUSE
KPCD_MOUSE	X3CL1_MOUSE
CLUS_MOUSE	X3CL1_MOUSE
BI1_MOUSE	X3CL1_MOUSE
IC1_MOUSE	X3CL1_MOUSE
CATW_MOUSE	X3CL1_MOUSE
MSRE_MOUSE	X3CL1_MOUSE
IL1R1_MOUSE	X3CL1_MOUSE
VILI_MOUSE	X3CL1_MOUSE
RGS2_MOUSE	X3CL1_MOUSE
TNFL4_MOUSE	X3CL1_MOUSE
SAPC2_MOUSE	X3CL1_MOUSE
NMDZ1_MOUSE	X3CL1_MOUSE
MARH7_MOUSE	X3CL1_MOUSE
ADHX_MOUSE	X3CL1_MOUSE
AMRP_MOUSE	X3CL1_MOUSE
PACR_MOUSE	X3CL1_MOUSE
NPY_MOUSE	X3CL1_MOUSE
SYPH_MOUSE	X3CL1_MOUSE
FA8_MOUSE	X3CL1_MOUSE
FA7_MOUSE	X3CL1_MOUSE
SFRP1_MOUSE	X3CL1_MOUSE
CCL3_MOUSE	CCL22_MOUSE
RELB_MOUSE	CCL22_MOUSE
IL13_MOUSE	CCL22_MOUSE
RAF1_MOUSE	CPIN1_MOUSE
ACVL1_MOUSE	CPIN1_MOUSE
PLAK_MOUSE	CPIN1_MOUSE
ESAM_MOUSE	CPIN1_MOUSE
BRAF_MOUSE	CPIN1_MOUSE
THOP1_MOUSE	CPIN1_MOUSE
MTDC_MOUSE	CPIN1_MOUSE
GATA6_MOUSE	CPIN1_MOUSE
TGFR1_MOUSE	CPIN1_MOUSE
MLRV_MOUSE	CPIN1_MOUSE
GATA2_MOUSE	CPIN1_MOUSE
FLI1_MOUSE	CPIN1_MOUSE
MEIS1_MOUSE	CPIN1_MOUSE
SPTB2_MOUSE	CPIN1_MOUSE
K1C18_MOUSE	CPIN1_MOUSE
BIRC6_MOUSE	CPIN1_MOUSE
PROC_MOUSE	CPIN1_MOUSE
TNFA_MOUSE	CPIN1_MOUSE
HEM0_MOUSE	CPIN1_MOUSE
CFC1_MOUSE	CPIN1_MOUSE
FA5_MOUSE	CPIN1_MOUSE
EGLN_MOUSE	CPIN1_MOUSE
SP3_MOUSE	CPIN1_MOUSE
EVI1_MOUSE	CPIN1_MOUSE
DSRAD_MOUSE	CPIN1_MOUSE
YBOX1_MOUSE	CPIN1_MOUSE
HGF_MOUSE	CPIN1_MOUSE
WASF2_MOUSE	CPIN1_MOUSE
EPO_MOUSE	CPIN1_MOUSE
GLRX3_MOUSE	CPIN1_MOUSE
COQ6_MOUSE	COQ9_MOUSE
ACL6B_MOUSE	COQ9_MOUSE
NDUBB_MOUSE	COQ9_MOUSE
CO3A1_MOUSE	GPR56_MOUSE
TGFR1_MOUSE	KTNB1_MOUSE
DYHC1_MOUSE	KTNB1_MOUSE
NDEL1_MOUSE	KTNB1_MOUSE
LIS1_MOUSE	KTNB1_MOUSE
CADH4_MOUSE	KIFC3_MOUSE
PDGFB_MOUSE	KIFC3_MOUSE
IL5RA_MOUSE	KIFC3_MOUSE
CTNS_MOUSE	KIFC3_MOUSE
EPHB3_MOUSE	KIFC3_MOUSE
HPS5_MOUSE	KIFC3_MOUSE
DLL1_MOUSE	KIFC3_MOUSE
S12A7_MOUSE	KIFC3_MOUSE
DYHC1_MOUSE	KIFC3_MOUSE
ERAP1_MOUSE	KIFC3_MOUSE
UPK3A_MOUSE	KIFC3_MOUSE
S22A1_MOUSE	KIFC3_MOUSE
HPS1_MOUSE	KIFC3_MOUSE
HPRT_MOUSE	KIFC3_MOUSE
RM44_MOUSE	KIFC3_MOUSE
PDCD1_MOUSE	KIFC3_MOUSE
KI18A_MOUSE	KIFC3_MOUSE
GRP1_MOUSE	KIFC3_MOUSE
ACHB2_MOUSE	KIFC3_MOUSE
PPT1_MOUSE	KIFC3_MOUSE
MD2L1_MOUSE	KIFC3_MOUSE
MRP6_MOUSE	KIFC3_MOUSE
AGAL_MOUSE	KIFC3_MOUSE
MMP14_MOUSE	MMP15_MOUSE
PROC_MOUSE	MMP15_MOUSE
MMP16_MOUSE	MMP15_MOUSE
MMP17_MOUSE	MMP15_MOUSE
TM38B_MOUSE	TM38A_MOUSE
CN37_MOUSE	USB1_MOUSE
CC067_MOUSE	CP080_MOUSE
TRIP6_MOUSE	TPM4_MOUSE
TCRG1_MOUSE	TPM4_MOUSE
TPM3_MOUSE	TPM4_MOUSE
TPM2_MOUSE	TPM4_MOUSE
OPRM_MOUSE	B3GN3_MOUSE
PSA_MOUSE	B3GN3_MOUSE
DSG4_MOUSE	B3GN3_MOUSE
GRIA3_MOUSE	B3GN3_MOUSE
NR2F6_MOUSE	B3GN3_MOUSE
TRPV1_MOUSE	B3GN3_MOUSE
TRPV4_MOUSE	B3GN3_MOUSE
PTGDS_MOUSE	B3GN3_MOUSE
S12A5_MOUSE	B3GN3_MOUSE
RAC3_MOUSE	B3GN3_MOUSE
GRIA1_MOUSE	B3GN3_MOUSE
CAN7_MOUSE	B3GN3_MOUSE
B3GN5_MOUSE	B3GN3_MOUSE
5HT7R_MOUSE	B3GN3_MOUSE
KAP1_MOUSE	B3GN3_MOUSE
GRIA4_MOUSE	B3GN3_MOUSE
OPRK_MOUSE	B3GN3_MOUSE
S40A1_MOUSE	B3GN3_MOUSE
PPM1F_MOUSE	B3GN3_MOUSE
SFRP3_MOUSE	B3GN3_MOUSE
OPRX_MOUSE	B3GN3_MOUSE
MMP24_MOUSE	B3GN3_MOUSE
GBRR1_MOUSE	B3GN3_MOUSE
FGF5_MOUSE	B3GN3_MOUSE
CATC_MOUSE	B3GN3_MOUSE
S19A1_MOUSE	JAK3_MOUSE
STAT3_MOUSE	JAK3_MOUSE
STA5A_MOUSE	JAK3_MOUSE
CATD_MOUSE	JAK3_MOUSE
PPT2_MOUSE	JAK3_MOUSE
IL10_MOUSE	JAK3_MOUSE
ERBB3_MOUSE	JAK3_MOUSE
ID2_MOUSE	JAK3_MOUSE
ASB2_MOUSE	JAK3_MOUSE
GDNF_MOUSE	JAK3_MOUSE
FCL_MOUSE	JAK3_MOUSE
ANM5_MOUSE	JAK3_MOUSE
TFF3_MOUSE	JAK3_MOUSE
PTN2_MOUSE	JAK3_MOUSE
SIGIR_MOUSE	JAK3_MOUSE
IL6_MOUSE	JAK3_MOUSE
ICOS_MOUSE	JAK3_MOUSE
SL9A4_MOUSE	JAK3_MOUSE
LYAM1_MOUSE	JAK3_MOUSE
STAM1_MOUSE	JAK3_MOUSE
IL2RA_MOUSE	JAK3_MOUSE
IL2_MOUSE	JAK3_MOUSE
CAH9_MOUSE	JAK3_MOUSE
IQGA1_MOUSE	JAK3_MOUSE
SH2B1_MOUSE	JAK3_MOUSE
WASP_MOUSE	JAK3_MOUSE
IL2RG_MOUSE	JAK3_MOUSE
IKKB_MOUSE	JAK3_MOUSE
DNSL3_MOUSE	6PGL_MOUSE
CALB1_MOUSE	6PGL_MOUSE
TXD12_MOUSE	6PGL_MOUSE
G6PE_MOUSE	6PGL_MOUSE
G6PD1_MOUSE	6PGL_MOUSE
APOA2_MOUSE	S27A1_MOUSE
GBRB2_MOUSE	S27A1_MOUSE
RETN_MOUSE	S27A1_MOUSE
CMC2_MOUSE	S27A1_MOUSE
LIPL_MOUSE	S27A1_MOUSE
PLTP_MOUSE	S27A1_MOUSE
STAR3_MOUSE	S27A1_MOUSE
NEUT_MOUSE	S27A1_MOUSE
GALK1_MOUSE	S27A1_MOUSE
MRP3_MOUSE	S27A1_MOUSE
ASGR1_MOUSE	S27A1_MOUSE
ARGI2_MOUSE	S27A1_MOUSE
CP46A_MOUSE	S27A1_MOUSE
HEP2_MOUSE	S27A1_MOUSE
NR1I2_MOUSE	S27A1_MOUSE
SOAT2_MOUSE	S27A1_MOUSE
PLCE1_MOUSE	S27A1_MOUSE
CP2E1_MOUSE	S27A1_MOUSE
GRB14_MOUSE	S27A1_MOUSE
ACOC_MOUSE	S27A1_MOUSE
IL21R_MOUSE	S27A1_MOUSE
RGS10_MOUSE	S27A1_MOUSE
FA9_MOUSE	S27A1_MOUSE
MT2_MOUSE	S27A1_MOUSE
MT1_MOUSE	S27A1_MOUSE
SQSTM_MOUSE	MLP3B_MOUSE
NBR1_MOUSE	MLP3B_MOUSE
GBRAP_MOUSE	MLP3B_MOUSE
ATG10_MOUSE	MLP3B_MOUSE
RAD1_MOUSE	MLP3B_MOUSE
ATG3_MOUSE	MLP3B_MOUSE
FYCO1_MOUSE	MLP3B_MOUSE
ATG4B_MOUSE	MLP3B_MOUSE
SSFA2_MOUSE	MLP3B_MOUSE
MLP3A_MOUSE	MLP3B_MOUSE
PGM2_MOUSE	MLP3B_MOUSE
GBRL1_MOUSE	MLP3B_MOUSE
ATG7_MOUSE	MLP3B_MOUSE
ROGDI_MOUSE	MTHSD_MOUSE
PRDX4_MOUSE	MTHSD_MOUSE
BAX_MOUSE	COX41_MOUSE
COX42_MOUSE	COX41_MOUSE
LFG4_MOUSE	COX41_MOUSE
2A5E_MOUSE	EMC8_MOUSE
EMC9_MOUSE	EMC8_MOUSE
EMC2_MOUSE	EMC8_MOUSE
MPC2_MOUSE	EMC8_MOUSE
VPS4B_MOUSE	BABA1_MOUSE
MICU1_MOUSE	BABA1_MOUSE
HINT1_MOUSE	BABA1_MOUSE
PRDX5_MOUSE	BABA1_MOUSE
RM53_MOUSE	BABA1_MOUSE
PSF1_MOUSE	PSF2_MOUSE
CHK2_MOUSE	PSF2_MOUSE
SLD5_MOUSE	PSF2_MOUSE
PSF3_MOUSE	PSF2_MOUSE
PKNX1_MOUSE	ZDHC7_MOUSE
MEIS1_MOUSE	ZDHC7_MOUSE
BAIP2_MOUSE	ZDHC7_MOUSE
SNP25_MOUSE	ZDHC7_MOUSE
ALEX_MOUSE	ZDHC7_MOUSE
DCTN3_MOUSE	ZDHC7_MOUSE
RUFY1_MOUSE	K0513_MOUSE
INT4_MOUSE	K0513_MOUSE
USF1_MOUSE	K0513_MOUSE
CRIS2_MOUSE	CRLD2_MOUSE
PI16_MOUSE	CRLD2_MOUSE
CRLD1_MOUSE	CRLD2_MOUSE
SCNNG_MOUSE	UBP10_MOUSE
CELF1_MOUSE	UBP10_MOUSE
G3BP1_MOUSE	UBP10_MOUSE
PABP1_MOUSE	UBP10_MOUSE
GAR1_MOUSE	UBP10_MOUSE
IF4G3_MOUSE	UBP10_MOUSE
ULK1_MOUSE	UBP10_MOUSE
SCNNA_MOUSE	UBP10_MOUSE
PTN6_MOUSE	COTL1_MOUSE
